customer_id,customer_fname,customer_lname,customer_email,customer_password,customer_street,customer_city,customer_state,customer_zipcode
4001,Maria,Nixon,XXXXXXXXX,XXXXXXXXX,2517 Shady Branch Avenue,Caguas,PR,725
4002,Mary,Smith,XXXXXXXXX,XXXXXXXXX,4320 Iron Highlands,Columbus,GA,31907
4003,Joseph,Harper,XXXXXXXXX,XXXXXXXXX,8766 Clear Prairie Line,Caguas,PR,725
4004,Paul,Erickson,XXXXXXXXX,XXXXXXXXX,1387 Lazy Hickory Bank,Pacoima,CA,91331
4005,Virginia,Dyer,XXXXXXXXX,XXXXXXXXX,8426 Umber Gardens,Quincy,MA,2169
4006,Mary,Smith,XXXXXXXXX,XXXXXXXXX,151 Jagged Rise Stead,Clementon,NJ,8021
4007,Amanda,Brady,XXXXXXXXX,XXXXXXXXX,5737 Honey Meadow,Murfreesboro,TN,37130
4008,Diana,Smith,XXXXXXXXX,XXXXXXXXX,3304 Heather Pioneer Vista,Caguas,PR,725
4009,Mary,Ayers,XXXXXXXXX,XXXXXXXXX,5652 Tawny Anchor Plaza,Elgin,IL,60120
4010,Michael,Smith,XXXXXXXXX,XXXXXXXXX,1207 Green Anchor Arbor,Honolulu,HI,96822
4011,Victoria,Gallagher,XXXXXXXXX,XXXXXXXXX,7197 Honey Quail Round,Caguas,PR,725
4012,Mary,Smith,XXXXXXXXX,XXXXXXXXX,1795 Fallen Corners,Roswell,GA,30075
4013,Gloria,Thornton,XXXXXXXXX,XXXXXXXXX,5883 Dusty Drive,Caguas,PR,725
4014,Mary,Smith,XXXXXXXXX,XXXXXXXXX,7449 Tawny Glen,Dallas,TX,75217
4015,Sharon,Mcconnell,XXXXXXXXX,XXXXXXXXX,8791 Cozy Passage,Rancho Cucamonga,CA,91730
4016,Mary,Smith,XXXXXXXXX,XXXXXXXXX,3159 Dewy Leaf Plaza,Caguas,PR,725
4017,James,Goodwin,XXXXXXXXX,XXXXXXXXX,6692 Clear Edge,Florissant,MO,63031
4018,Mildred,Smith,XXXXXXXXX,XXXXXXXXX,9126 Colonial Gardens,Bismarck,ND,58501
