customer_id,customer_fname,customer_lname,customer_email,customer_password,customer_street,customer_city,customer_state,customer_zipcode
10001,Nathan,Smith,XXXXXXXXX,XXXXXXXXX,6716 Wishing Pioneer Thicket,Washington,DC,20020
10002,Mary,Briggs,XXXXXXXXX,XXXXXXXXX,8284 Pleasant Pine Villas,New York,NY,10040
10003,Robert,Kerr,XXXXXXXXX,XXXXXXXXX,4948 Colonial Village,Caguas,PR,725
10004,Kimberly,Smith,XXXXXXXXX,XXXXXXXXX,6414 Colonial Robin Trail,Saginaw,MI,48601
10005,Zachary,Day,XXXXXXXXX,XXXXXXXXX,7581 Cinder Link,Clearfield,UT,84015
10006,Mary,Smith,XXXXXXXXX,XXXXXXXXX,833 Honey Panda Acres,Caguas,PR,725
10007,Lori,Luna,XXXXXXXXX,XXXXXXXXX,4896 Easy Landing,New York,NY,10025
10008,Arthur,Garrison,XXXXXXXXX,XXXXXXXXX,2205 Broad Square,Staten Island,NY,10312
10009,Mary,Smith,XXXXXXXXX,XXXXXXXXX,8547 Misty Carrefour,Caguas,PR,725
10010,Patrick,Diaz,XXXXXXXXX,XXXXXXXXX,1400 Silent Run,Phoenix,AZ,85033
10011,Mary,Gonzales,XXXXXXXXX,XXXXXXXXX,5163 Velvet Private,Long Beach,CA,90806
10012,Robert,Montoya,XXXXXXXXX,XXXXXXXXX,3282 Lost Gate,Lynnwood,WA,98037
10013,Jessica,Smith,XXXXXXXXX,XXXXXXXXX,9809 Indian Berry Hollow,Caguas,PR,725
10014,Janet,Williams,XXXXXXXXX,XXXXXXXXX,9890 Pleasant Highway,Greeley,CO,80631
10015,Hannah,Wolfe,XXXXXXXXX,XXXXXXXXX,8050 Velvet Pond Drive,Caguas,PR,725
10016,Mary,Cooley,XXXXXXXXX,XXXXXXXXX,4569 Indian Walk,Brooklyn,NY,11204
10017,John,Smith,XXXXXXXXX,XXXXXXXXX,4583 Heather Blossom Diversion,Burnsville,MN,55337
10018,Gregory,Rodriguez,XXXXXXXXX,XXXXXXXXX,1632 Green Fawn Corners,Caguas,PR,725
10019,Victoria,Obrien,XXXXXXXXX,XXXXXXXXX,7016 Clear Turnabout,Rome,NY,13440
10020,Mary,Wall,XXXXXXXXX,XXXXXXXXX,5351 Sleepy Autumn Range,Phoenix,AZ,85035
10021,Donald,Davila,XXXXXXXXX,XXXXXXXXX,5292 Colonial Grounds,Caguas,PR,725
10022,Alice,Smith,XXXXXXXXX,XXXXXXXXX,851 Green Prairie Park,O Fallon,MO,63366
10023,Victoria,Knight,XXXXXXXXX,XXXXXXXXX,9581 Burning Horse Centre,Newark,NJ,7105
10024,Mary,Shelton,XXXXXXXXX,XXXXXXXXX,9117 Harvest Street,Caguas,PR,725
10025,Alexander,Smith,XXXXXXXXX,XXXXXXXXX,1513 Thunder Boulevard,Carolina,PR,985
10026,Mary,Wilson,XXXXXXXXX,XXXXXXXXX,2459 Round Spring Towers,Mcallen,TX,78501
10027,Robert,Foley,XXXXXXXXX,XXXXXXXXX,5310 Easy Barn Campus,Caguas,PR,725
10028,Jose,Smith,XXXXXXXXX,XXXXXXXXX,9099 Shady Round,Salt Lake City,UT,84118
10029,Mary,Silva,XXXXXXXXX,XXXXXXXXX,1230 Crystal Lookout,Carrollton,TX,75006
10030,Lisa,Little,XXXXXXXXX,XXXXXXXXX,4101 Colonial By-pass,Caguas,PR,725
10031,Crystal,Blake,XXXXXXXXX,XXXXXXXXX,6764 Tawny Link,Staten Island,NY,10306
10032,Shawn,Smith,XXXXXXXXX,XXXXXXXXX,5578 Quaking Butterfly Highlands,Caguas,PR,725
10033,Mary,Gutierrez,XXXXXXXXX,XXXXXXXXX,2104 Cotton Dale,San Marcos,TX,78666
10034,Elizabeth,Smith,XXXXXXXXX,XXXXXXXXX,1809 Misty Pine Pines,Caguas,PR,725
10035,Jack,Griffith,XXXXXXXXX,XXXXXXXXX,4805 Lost Berry Forest,Lansdale,PA,19446
10036,Mary,Smith,XXXXXXXXX,XXXXXXXXX,3345 Heather Inlet,Caguas,PR,725
10037,Kenneth,Price,XXXXXXXXX,XXXXXXXXX,1108 Lost Campus,Weslaco,TX,78596
10038,Julie,Smith,XXXXXXXXX,XXXXXXXXX,7441 Cozy Autumn Trace,Caguas,PR,725
10039,Mary,Butler,XXXXXXXXX,XXXXXXXXX,7786 Quiet Mall ,Conway,AR,72032
10040,Susan,Curry,XXXXXXXXX,XXXXXXXXX,4174 Pleasant Mountain Acres,Dundalk,MD,21222
10041,Mary,Smith,XXXXXXXXX,XXXXXXXXX,8544 Silent Treasure Thicket,Caguas,PR,725
10042,Christopher,Hatfield,XXXXXXXXX,XXXXXXXXX,5721 Rocky Pond Glade,Canyon Country,CA,91351
10043,Mary,Smith,XXXXXXXXX,XXXXXXXXX,1396 Pleasant Barn Beach,Columbus,OH,43230
10044,Brenda,Hall,XXXXXXXXX,XXXXXXXXX,2924 Velvet Dale Corners,Caguas,PR,725
10045,Sean,Bradley,XXXXXXXXX,XXXXXXXXX,990 Dewy Crest,San Jose,CA,95125
10046,Mary,Smith,XXXXXXXXX,XXXXXXXXX,8407 Colonial Cloud Mall ,Caguas,PR,725
10047,Ruth,Parker,XXXXXXXXX,XXXXXXXXX,9662 Foggy Anchor Pathway,Eugene,OR,97402
10048,Mary,Cooke,XXXXXXXXX,XXXXXXXXX,1550 Rustic Grove Farms,Caguas,PR,725
10049,Doris,Smith,XXXXXXXXX,XXXXXXXXX,6340 Quiet Turnabout,Santa Fe,NM,87505
10050,Mary,Garcia,XXXXXXXXX,XXXXXXXXX,538 Iron Crossing,Lockport,NY,14094
10051,Kathryn,Smith,XXXXXXXXX,XXXXXXXXX,9188 Red Highway,Weslaco,TX,78596
10052,Mary,Aguilar,XXXXXXXXX,XXXXXXXXX,3891 Red Pony Crossing,Troy,MI,48098
